event_name,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
UFC Fight Night: Blanchfield vs. Barber,Chris Tognoni,Jafel Filho,Allan Nascimento,Allan Nascimento,3,F,Flyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/baa2ee0bf7f97079
UFC Fight Night: Blanchfield vs. Barber,Mike Beltran,Kurt Holobaugh,Jordan Leavitt,Jordan Leavitt,3,F,Lightweight,M,Submission,Anaconda Choke On Ground,1,1:39,http://ufcstats.com/fight-details/2521fed000747f47
UFC Fight Night: Blanchfield vs. Barber,Herb Dean,Bolaji Oki,Michael Aswell,Bolaji Oki,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/ae89ba793121fe0c
UFC Fight Night: Blanchfield vs. Barber,Chris Tognoni,Rayanne dos Santos,Alice Ardelean,Alice Ardelean,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/73240bea13ed5e71
UFC Fight Night: Burns vs. Morales,Herb Dean,Gilbert Burns,Michael Morales,Michael Morales,5,F,Welterweight,M,KO/TKO,Punches to Head At Distance,1,3:39,http://ufcstats.com/fight-details/a81ad236a2f221f2
UFC Fight Night: Burns vs. Morales,Kerry Hatley,Sodiq Yusuff,Mairon Santos,Mairon Santos,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/dcb27eef6441268c
UFC Fight Night: Burns vs. Morales,Chris Tognoni,Dustin Stoltzfus,Nursulton Ruziboev,Nursulton Ruziboev,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/b3044bf646306e7f
UFC Fight Night: Burns vs. Morales,Herb Dean,Julian Erosa,Melquizael Costa,Melquizael Costa,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/fe2acfdaaaec3dba
UFC Fight Night: Burns vs. Morales,Jason Herzog,Gabe Green,Matheus Camilo,Gabe Green,3,F,Lightweight,M,Submission,Rear Naked Choke,2,3:43,http://ufcstats.com/fight-details/a9a6cca4bbf7a5db
UFC Fight Night: Burns vs. Morales,Kerry Hatley,Jared Gordon,Thiago Moises,Jared Gordon,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,1,3:37,http://ufcstats.com/fight-details/8ba31cf0b3164b72
UFC Fight Night: Burns vs. Morales,Chris Tognoni,Yadier del Valle,Connor Matthews,Yadier del Valle,3,F,Featherweight,M,Submission,Rear Naked Choke,1,2:54,http://ufcstats.com/fight-details/d6e2bc6e6c0cc4fe
UFC Fight Night: Burns vs. Morales,Herb Dean,Luana Santos,Tainara Lisboa,Luana Santos,3,F,Women's Bantamweight,F,Submission,Keylock From Mount,2,4:59,http://ufcstats.com/fight-details/f75fe8b384b0db11
UFC Fight Night: Burns vs. Morales,Jason Herzog,Elise Reed,Denise Gomes,Denise Gomes,3,F,Women's Strawweight,F,KO/TKO,Punches to Head In Clinch,2,0:30,http://ufcstats.com/fight-details/66887532be2de5ee
UFC Fight Night: Burns vs. Morales,Kerry Hatley,HyunSung Park,Carlos Hernandez,HyunSung Park,3,F,Flyweight,M,Submission,Rear Naked Choke,1,2:26,http://ufcstats.com/fight-details/18a7dc86279066f8
UFC Fight Night: Burns vs. Morales,Chris Tognoni,Tecia Pennington,Luana Pinheiro,Tecia Pennington,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/afdd95ae7b7cdb0c
UFC 315: Muhammad vs. Della Maddalena,Jason Herzog,Belal Muhammad,Jack Della Maddalena,Jack Della Maddalena,5,T,Welterweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/b873c116e39c9920
UFC 315: Muhammad vs. Della Maddalena,Marc Goddard,Valentina Shevchenko,Manon Fiorot,Valentina Shevchenko,5,T,Women's Flyweight,F,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/9e9d1764a015f313
UFC 315: Muhammad vs. Della Maddalena,Dan Miragliotta,Jose Aldo,Aiemann Zahabi,Aiemann Zahabi,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/891b2faf1bff38ee
UFC 315: Muhammad vs. Della Maddalena,Erick Philippeaux,Alexa Grasso,Natalia Silva,Natalia Silva,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/0f53eb509d0ffeb9
UFC 315: Muhammad vs. Della Maddalena,Luc Lefebvre,Benoit Saint Denis,Kyle Prepolec,Benoit Saint Denis,3,F,Lightweight,M,Submission,Arm Triangle From Side Control,2,2:35,http://ufcstats.com/fight-details/c7190cd03e53fb61
UFC 315: Muhammad vs. Della Maddalena,Marc Goddard,Mike Malott,Charles Radtke,Mike Malott,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,2,0:26,http://ufcstats.com/fight-details/2521234a4bf7c615
UFC 315: Muhammad vs. Della Maddalena,Jason Herzog,Jessica Andrade,Jasmine Jasudavicius,Jasmine Jasudavicius,3,F,Women's Flyweight,F,Submission,Rear Naked Choke,1,2:40,http://ufcstats.com/fight-details/4db2d86ebe8c8abd
UFC 315: Muhammad vs. Della Maddalena,Dan Miragliotta,Modestas Bukauskas,Ion Cutelaba,Modestas Bukauskas,3,F,Light Heavyweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/c812457a810dde39
UFC 315: Muhammad vs. Della Maddalena,Erick Philippeaux,Navajo Stirling,Ivan Erslan,Navajo Stirling,3,F,Light Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/99aa1f28e22bb6dd
UFC 315: Muhammad vs. Della Maddalena,Luc Lefebvre,Marc-Andre Barriault,Bruno Silva,Marc-Andre Barriault,3,F,Middleweight,M,KO/TKO,Elbows to Head In Clinch,1,1:27,http://ufcstats.com/fight-details/6ecfa439ef900bcc
UFC 315: Muhammad vs. Della Maddalena,Marc Goddard,Daniel Santos,JeongYeong Lee,Daniel Santos,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/0e0a4282cd6c86d7
UFC 315: Muhammad vs. Della Maddalena,Jason Herzog,Brad Katona,Bekzat Almakhan,Bekzat Almakhan,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,1:04,http://ufcstats.com/fight-details/c20bd12ae7f04eff
UFC Fight Night: Sandhagen vs. Figueiredo,Dan Miragliotta,Cory Sandhagen,Deiveson Figueiredo,Cory Sandhagen,5,F,Bantamweight,M,KO/TKO,"to    
      Knee Injur",2,4:08,http://ufcstats.com/fight-details/9b3bade95e1dd484
UFC Fight Night: Sandhagen vs. Figueiredo,Mike Beltran,Reinier de Ridder,Bo Nickal,Reinier de Ridder,3,F,Middleweight,M,KO/TKO,Knee to Body At Distance,2,1:53,http://ufcstats.com/fight-details/380242601a2c5991
UFC Fight Night: Sandhagen vs. Figueiredo,Kevin MacDonald,Santiago Ponzinibbio,Daniel Rodriguez,Daniel Rodriguez,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,3,1:12,http://ufcstats.com/fight-details/191ee545160a4e09
UFC Fight Night: Sandhagen vs. Figueiredo,Gary Copeland,Montel Jackson,Daniel Marcos,Montel Jackson,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/5ce29056e0cd2df9
UFC Fight Night: Sandhagen vs. Figueiredo,Dan Miragliotta,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/6ccd10adc968e1f0
UFC Fight Night: Sandhagen vs. Figueiredo,Mike Beltran,Jeremy Stephens,Mason Jones,Mason Jones,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/9039959b41901412
UFC Fight Night: Sandhagen vs. Figueiredo,Kevin MacDonald,Yana Santos,Miesha Tate,Yana Santos,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/2707dc2245335cc1
UFC Fight Night: Sandhagen vs. Figueiredo,Gary Copeland,Ryan Loder,Azamat Bekoev,Azamat Bekoev,3,F,Middleweight,M,KO/TKO,Punch to Head At Distance,1,2:44,http://ufcstats.com/fight-details/77ed474dfc5359ea
UFC Fight Night: Sandhagen vs. Figueiredo,Bruce Allen,Marina Rodriguez,Gillian Robertson,Gillian Robertson,3,F,Women's Strawweight,F,KO/TKO,Punches to Head From Mount,2,2:07,http://ufcstats.com/fight-details/6e26a6293ea6ba62
UFC Fight Night: Sandhagen vs. Figueiredo,Tyrone Roberts,Gaston Bolanos,Quang Le,Quang Le,3,F,Bantamweight,M,Submission,Rear Naked Choke,2,1:54,http://ufcstats.com/fight-details/97b32ff27fd457a8
UFC Fight Night: Sandhagen vs. Figueiredo,Bruce Allen,Thomas Petersen,Don'Tale Mayes,Thomas Petersen,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/c445401709421fa4
UFC Fight Night: Sandhagen vs. Figueiredo,Tyrone Roberts,Juliana Miller,Ivana Petrovic,Juliana Miller,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/469f887278324e63
UFC Fight Night: Machado Garry vs. Prates,Dan Miragliotta,Ian Machado Garry,Carlos Prates,Ian Machado Garry,5,F,Welterweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/633f4b5ec767769d
UFC Fight Night: Machado Garry vs. Prates,Jason Herzog,Anthony Smith,Zhang Mingyang,Zhang Mingyang,3,F,Light Heavyweight,M,KO/TKO,Elbows to Head On Ground,1,4:03,http://ufcstats.com/fight-details/a526a72ade275f46
UFC Fight Night: Machado Garry vs. Prates,Keith Peterson,Giga Chikadze,David Onama,David Onama,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/4072abf0b0c179f2
UFC Fight Night: Machado Garry vs. Prates,Nick Berens,Michel Pereira,Abus Magomedov,Abus Magomedov,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/9bbd45774fb4a6eb
UFC Fight Night: Machado Garry vs. Prates,Keith Peterson,Randy Brown,Nicolas Dalby,Randy Brown,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,2,1:39,http://ufcstats.com/fight-details/fbf83609dc96f32e
UFC Fight Night: Machado Garry vs. Prates,Jason Herzog,Ikram Aliskerov,Andre Muniz,Ikram Aliskerov,3,F,Middleweight,M,KO/TKO,Punches to Head From Half Guard,1,4:54,http://ufcstats.com/fight-details/62fbdd4f0bcd3c2a
UFC Fight Night: Machado Garry vs. Prates,Dan Miragliotta,Matt Schnell,Jimmy Flick,Matt Schnell,3,F,Flyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/d8d22dcc1f6912e7
UFC Fight Night: Machado Garry vs. Prates,Nick Berens,Evan Elder,Gauge Young,Evan Elder,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/97770b38df67b276
UFC Fight Night: Machado Garry vs. Prates,Keith Peterson,Chris Gutierrez,John Castaneda,Chris Gutierrez,3,F,Featherweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/6f3cb7ce84185dd3
UFC Fight Night: Machado Garry vs. Prates,Jason Herzog,Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/7d51649373d42571
UFC Fight Night: Machado Garry vs. Prates,Zach Teiberis,Malcolm Wellmaker,Cameron Saaiman,Malcolm Wellmaker,3,F,Bantamweight,M,KO/TKO,Punch to Head At Distance,1,1:59,http://ufcstats.com/fight-details/c2c20a04a78d9143
UFC Fight Night: Machado Garry vs. Prates,Dan Miragliotta,Jaqueline Amorim,Polyana Viana,Jaqueline Amorim,3,F,Women's Strawweight,F,Submission,Rear Naked Choke,2,1:49,http://ufcstats.com/fight-details/e7b3ca036835b7c2
UFC Fight Night: Machado Garry vs. Prates,Nick Berens,Timmy Cuamba,Roberto Romero,Timmy Cuamba,3,F,Featherweight,M,KO/TKO,Flying Knee Head,2,3:55,http://ufcstats.com/fight-details/23201d09a78d446d
UFC Fight Night: Machado Garry vs. Prates,Zach Teiberis,Chelsea Chandler,Joselyne Edwards,Joselyne Edwards,3,F,Women's Bantamweight,F,KO/TKO,Punches to Head On Ground,1,2:31,http://ufcstats.com/fight-details/7fd6770fe2d4f258
UFC 314: Volkanovski vs. Lopes,Marc Goddard,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,5,T,Featherweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/e733f148060bef2a
